farm_region,plant_id,DestinationName,plant_lat,plant_long
UMW,1398,FFUSA-KEMPS-MINNEAPOLIS,,
UMW,1419,AMPI-SANBORN,,
UMW,1421,AGROPUR-LITTLE CHUTE,,
UMW,1422,AGROPUR-LUXEMBURG,,
UMW,1430,DFA-KEMPS CEDARBURG,,
UMW,1439,PRAIRIE FARMS-MEMPHIS,,
UMW,1441,AMPI-KEMPS-MINNEAPOLIS,,
UMW,1443,LACTALIS-AMPI-JIM FALLS,,
UMW,1444,NFO-SARTORI-ANTIGO,,
UMW,1574,AMPI-ST PAUL BEVERAGE,,
UMW,1591,SARGENTO FOODS,,
